,Stock,Close,Open,Low,High,Volume
0,AAK,"166,5","164,2","164,2","167,35",444 662
1,ABB LTD,"228,5","230,1","228,1","232,2",1 270 778
2,ADDTECH B,"439,8","439,6",433,"441,6",64 933
3,AHLSTROM-MUNKSJÖ OYJ,143,"140,2",140,"145,6",2 855
4,ALFA LAVAL,"222,1","222,4","220,5",225,872 333
5,ARION BANKI SDB,"4,41","4,405","4,39","4,495",32 930
6,ARJO B,"51,2","51,6","51,1","51,8",195 058
7,ASSA ABLOY B,"198,8","197,9","195,75","199,05",1 790 986
8,ASTRAZENECA,"976,4",986,"974,4","994,1",456 332
9,ATLAS COPCO A,"395,2","396,9","393,9","400,8",792 267
10,ATLAS COPCO B,"344,2","345,5","343,2","349,2",404 148
11,ATRIUM LJUNGBERG B,130,"132,2",130,"132,6",88 000
12,ATTENDO,"44,32","44,92","44,16","45,3",183 803
13,AUTOLIV SDB,"621,8","625,6","620,8","634,2",129 145
14,AVANZA BANK HOLDING,"161,5",161,"159,9","164,6",211 054
15,AXFOOD,"194,9","194,3","194,2","197,8",390 213
16,BEIJER REF B,"347,2","343,2","339,2","347,2",285 225
17,BETSSON B,"69,1","69,5","68,5","70,5",368 784
18,BILLERUDKORSNÄS,"145,05","147,2","144,75","147,55",420 692
19,BOLIDEN,"251,4","252,5","250,5","253,3",843 413
20,BONAVA A,"63,4","63,8","63,4","63,8",212
21,BONAVA B,"62,95","64,05","62,8","64,05",239 208
22,BRAVIDA HOLDING,"99,8","99,6","99,15","101,2",80 798
23,CASTELLUM,"178,55","182,9","178,4",184,622 635
24,DOMETIC GROUP,100,"99,5","98,06","101,35",1 482 411
25,ELECTROLUX A,185,185,185,185,155
26,ELECTROLUX B,"178,3","177,75","176,45","179,15",1 099 267
27,ELECTROLUX PROFESSIONAL A,"40,1",40,40,"40,1",1 775
28,ELECTROLUX PROFESSIONAL B,"38,62","39,8","38,5","39,8",319 939
29,ELEKTA B,"97,12","98,92","96,88","99,28",986 474
30,EPIROC A,"129,65","130,05","128,7","131,3",1 177 774
31,EPIROC B,"124,75","125,75","124,4",127,472 436
32,EQT,"200,8",200,"195,45","205,3",1 706 997
33,ERICSSON A,110,111,110,"111,4",9 960
34,ERICSSON B,"100,35",101,"100,05","101,35",5 190 345
35,ESSITY A,"293,5",292,292,"299,5",6 693
36,ESSITY B,"294,4","292,2","291,5","299,7",1 471 245
37,EVOLUTION GAMING GROUP,"612,8","627,2","606,4",628,567 367
38,FABEGE,"105,4","108,8","105,1","109,15",1 083 684
39,FAST. BALDER B,347,"357,2",347,"358,3",478 922
40,FASTPARTNER A,"67,4","69,7","67,4","69,9",208 400
41,FASTPARTNER D,"82,2","82,2","81,4","82,2",250
